problem_id,file,verdict,calls,missing
1,1_Square_matrix_multiplication_.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
2,2_Standard_matrix_multiplication_.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
3,3_Batched_matrix_multiplication.py,covered,nn.Module; torch.Tensor; torch.bmm; torch.nn; torch.rand,
4,4_Matrix_vector_multiplication_.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
5,5_Matrix_scalar_multiplication.py,covered,nn.Module; torch.Tensor; torch.nn; torch.rand,
6,6_Matmul_with_large_K_dimension_.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
7,7_Matmul_with_small_K_dimension_.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
8,8_Matmul_with_irregular_shapes_.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
9,9_Tall_skinny_matrix_multiplication_.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
10,10_3D_tensor_matrix_multiplication.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
11,11_4D_tensor_matrix_multiplication.py,gap,nn.Module; torch.Tensor; torch.einsum; torch.nn; torch.rand,torch.einsum (einsum)
12,12_Matmul_with_diagonal_matrices_.py,gap,nn.Module; torch.Tensor; torch.diag; torch.nn; torch.rand,torch.diag (diag)
13,13_Matmul_for_symmetric_matrices.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
14,14_Matmul_for_upper_triangular_matrices.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand; torch.triu,
15,15_Matmul_for_lower_triangular_matrices.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand; torch.tril,
16,16_Matmul_with_transposed_A.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
17,17_Matmul_with_transposed_B.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
18,18_Matmul_with_transposed_both.py,covered,nn.Module; torch.Tensor; torch.matmul; torch.nn; torch.rand,
19,19_ReLU.py,covered,nn.Module; torch.Tensor; torch.nn; torch.rand; torch.relu,
20,20_LeakyReLU.py,covered,F.leaky_relu; nn.Module; torch.Tensor; torch.nn; torch.rand,
21,21_Sigmoid.py,covered,nn.Module; torch.Tensor; torch.nn; torch.rand; torch.sigmoid,
22,22_Tanh.py,covered,nn.Module; torch.Tensor; torch.nn; torch.rand; torch.tanh,
23,23_Softmax.py,covered,nn.Module; torch.Tensor; torch.nn; torch.rand; torch.softmax,
24,24_LogSoftmax.py,covered,nn.Module; torch.Tensor; torch.log_softmax; torch.nn; torch.rand,
25,25_Swish.py,covered,nn.Module; torch.Tensor; torch.nn; torch.rand; torch.sigmoid,
26,26_GELU_.py,covered,F.gelu; nn.Module; torch.Tensor; torch.nn; torch.rand,
27,27_SELU_.py,gap,nn.Module; torch.Tensor; torch.nn; torch.rand; torch.selu,torch.selu (selu)
28,28_HardSigmoid.py,covered,F.hardsigmoid; nn.Module; torch.Tensor; torch.nn; torch.rand,
29,29_Softplus.py,covered,F.softplus; nn.Module; torch.Tensor; torch.nn; torch.rand,
30,30_Softsign.py,covered,nn.Module; torch.Tensor; torch.abs; torch.nn; torch.rand,
31,31_ELU.py,covered,F.elu; nn.Module; nn.functional; torch.Tensor; torch.nn; torch.rand,
32,32_HardTanh.py,covered,F.hardtanh; nn.Module; nn.functional; torch.Tensor; torch.nn; torch.rand,
33,33_BatchNorm.py,covered,nn.BatchNorm2d; nn.Module; torch.Tensor; torch.nn; torch.rand,
34,34_InstanceNorm.py,gap,nn.InstanceNorm2d; nn.Module; torch.Tensor; torch.nn; torch.rand,nn.InstanceNorm2d (instance_norm)
35,35_GroupNorm_.py,covered,nn.GroupNorm; nn.Module; torch.Tensor; torch.nn; torch.rand,
