problem,ref_ms,ours_ms,speedup,error,elapsed_s,ts
97,,,,timeout,150.1,2026-09-04 19:23:21
43,47.766,1561.216,0.0306,,22.3,2026-09-04 19:23:44
44,106.25,1619.783,0.0656,,17.5,2026-09-04 19:24:01
50,19.263,523.439,0.0368,,21.7,2026-09-04 19:24:23
28,8.471,7.814,1.0841,,20.4,2026-09-04 19:24:43
31,76.237,2949.666,0.0258,,42.7,2026-09-04 19:25:26
32,4.109,3.46,1.1879,,30.5,2026-09-04 19:25:56
30,61.157,110.389,0.554,,32.2,2026-09-04 19:26:29
43,47.679,140.849,0.3385,,14.1,2026-09-05 00:33:57
44,106.179,199.693,0.5317,,19.8,2026-09-05 00:33:57
50,19.263,57.205,0.3367,,17.8,2026-09-05 00:33:57
31,75.882,526.967,0.144,,30.9,2026-09-05 00:33:57
97,76.3,1151.704,0.0662,,33.8,2026-09-05 00:33:57
97,76.212,320.263,0.238,,20.4,2026-09-05 00:54:49
97,75.919,244.065,0.3111,,20.0,2026-09-05 01:01:34
