project,revision,revision_label,role,operator_families,hardware,source_scope,validation_status,license,repository,snapshot
mate,e3e10c32545931024565efb80ef5712ed9d1e0c8,v0.2.5,native-kernel-library,"FA3; FMHA; FlashMLA; FlashKDA; SageAttention; MSA","S5000; MP31",complete snapshot,provenance-verified-not-built,Apache-2.0,https://github.com/MooreThreads/mate,implementations/mate/v0.2.5
mate,bbcd8b8c715eabddf663a30e000e0f2ebcb39bc3,v0.2.6,native-kernel-library,"FA3; FMHA; paged KV; FlashMLA; sparse MLA; FlashKDA; SageAttention; MSA; FlashInfer wrapper","S5000; MP31",complete snapshot,provenance-verified-not-built,Apache-2.0,https://github.com/MooreThreads/mate,implementations/mate/v0.2.6
mutlass,68f1bf1806f5435246518bbeecd3aa810704e3ae,v0.2.0,kernel-template-library,MP31 FlashAttention forward,MP31,complete snapshot,provenance-verified-not-built,BSD-3-Clause,https://github.com/MooreThreads/mutlass,implementations/mutlass/v0.2.0
mutlass,78b349514831ed54a797b717f2fc0534646acff2,MATE-v0.2.6-dependency,kernel-template-library,"FMHA; paged FMHA; MLA",MP31,complete snapshot,provenance-verified-not-built,BSD-3-Clause,https://github.com/MooreThreads/mutlass,implementations/mutlass/commit-78b349514831
mt_flashmla,c564db4a1b4a447c78973a2978a07b0fa6385843,main-snapshot,native-kernel,"MLA decode; paged KV",MP31,complete snapshot excluding submodule,provenance-verified-not-built,MIT,https://github.com/MooreThreads/MT-flashMLA,implementations/mt_flashmla/commit-c564db4a1b4a
torch_musa,467bb873388939c646ac4525f463bcdcc3eb570e,v2.9.1,framework-backend,"SDPA; muDNN FlashAttention",release-dependent,selective attention sources,provenance-verified-not-built,BSD-3-Clause,https://github.com/MooreThreads/torch_musa,implementations/torch_musa/v2.9.1
torch_musa,246d43e3525a9102162cbebfb25c067d634d95a2,2.11.0.post1,framework-backend,"SDPA; muDNN FlashAttention",release-dependent,selective attention sources,provenance-verified-not-built,BSD-3-Clause,https://github.com/MooreThreads/torch_musa,implementations/torch_musa/2.11.0.post1
tilelang_musa_legacy,4b59fea16afce49d39d7bca0eb936a14bf472dd1,deprecated-final-snapshot,attention-dsl-examples,"FlashAttention; backward; linear attention; MLA decode; DSA; NSA","S5000; S4000; M1000",selective MUSA attention sources,upstream-claimed-tested-devices-not-locally-built,MIT,https://github.com/MooreThreads/tilelang_musa,implementations/tilelang_musa_legacy/commit-4b59fea16afc
tilelang_musa,489df49a671356af0d9eb2d7c37e933b226a9063,maintained-successor-snapshot,attention-dsl-backend,"FlashAttention; backward; block sparse; sink; linear; MLA; NSA; SeerAttention","MUSA common; MP31 fast paths",selective backend and attention sources,provenance-verified-not-built,MIT,https://github.com/tile-ai/tilelang-musa,implementations/tilelang_musa/commit-489df49a6713
vllm_musa,235fa5b2938a2ee69173498a87cf223f1751fbbe,v0.28.0-dev,serving-kernels-and-backends,"DeepSeek-V4 sparse FlashMLA/index/cache; GLM-5.2 indexer; FA; tree attention",release-dependent,selective attention sources,provenance-verified-not-built,Apache-2.0,https://github.com/MooreThreads/vllm-musa,implementations/vllm_musa/v0.28.0-dev-235fa5b2938a
paddle_musa,607ef3c045a88d0cda868771c91e862c052be0da,v3.5.0.r1,framework-backend,"FlashAttention forward/backward; KV-cache MATE bridge",S5000,selective attention sources,provenance-verified-not-built,Apache-2.0,https://github.com/MooreThreads/paddle_musa,implementations/paddle_musa/v3.5.0.r1
llama_cpp,d08c7872d6ffe3f059f8647840a29aa390413e27,master-snapshot,portable-framework-backend,"ggml FlashAttention; quantized KV","mp_21; mp_22; mp_31",selective MUSA bridge and fattn sources,provenance-verified-not-built,MIT,https://github.com/ggml-org/llama.cpp,implementations/llama_cpp/commit-d08c7872d6ff
